,review,clear_review,predicted,candidat
899,Damkyan Omega On peut pas compter les votes pour Philippot et DupontAignan comme des votes nuls Dans un autre registre certes mais tout de même,damkyan omeg peut compt vot philippot dupontaignan comm vot nul autr registr cert tout,0,None
701, Info LEXPRESS  Chez EELV cest lheure des règlements de compteSamedi dernier dans une boucle interne le secrétaire national du parti JulienBayou a vivement critiqué Yannick Jadot lui reprochant davoir  singer Macron  durant sa campagne httpstcourilbYhwaS,info lexpress chez eelv cest lheur regl comptesamed derni boucl intern secrétair national part julienbayou a viv critiqu yannick jadot reproch davoir sing macron dur campagn httpstcourilbyhw,1,None
702,VictorSinclair3 La fraude et les connards comme Melenchon Jadot Hidalgo sont les responsables de lélection de Moumoute 1erhttpstcoFeFxXcelBp,victorsinclair3 fraud connard comm melenchon jadot hidalgo respons lélect moumout 1erhttpstcofefxxcelbp,0,None
703,INFO LEXPRESS  Chez EELV cest lheure des règlements de compte Samedi dernier dans une boucle interne le secrétaire national du parti julienbayou a taillé un costard à Yannick Jadot lui reprochant davoir  singer Macron  15 httpstcorW46wbjWyb,info lexpress chez eelv cest lheur regl compt samed derni boucl intern secrétair national part julienbayou a taill costard yannick jadot reproch davoir sing macron 15 httpstcorw46wbjwyb,0,None
704, Info LEXPRESS  Chez EELV cest lheure des règlements de compteSamedi dernier dans une boucle interne le secrétaire national du parti JulienBayou a vivement critiqué Yannick Jadot lui reprochant davoir  singer Macron  durant sa campagne httpstcourilbYhwaS,info lexpress chez eelv cest lheur regl comptesamed derni boucl intern secrétair national part julienbayou a viv critiqu yannick jadot reproch davoir sing macron dur campagn httpstcourilbyhw,1,None
705,Lantienne selon laquelle Macron a fait monter lextrême droite relève dun déni de léchec de toute lopposition Il est heureux quil y ait eu un candidat en capacité de la battre sans discussion Ni Hidalgo ni Pécresse ni Jadot ni même Mélenchon nen avaient les moyens,lantien selon laquel macron a fait mont lextrêm droit relev dun den léchec tout lopposit heureux quil candidat capac battr san discuss ni hidalgo ni pécress ni jadot ni mélenchon nen moyen,0,None
706,Nonlextrême droite na pas recueilli 415 des voix hier soirOn oublie un peu vite leffet du Tout sauf Macron qui a apporté à LePen 14M de voix de Mélenchon 370 000 de Pécresse et 130000 de JadotSans elles LePen recueillait 114 M de voix soit 355 des votantsCQFD,nonlextrêm droit na recueil 415 voix hi soiron oubl peu vit leffet tout sauf macron a apport lepen 14m voix mélenchon 370 000 pécress 130000 jadotsan elle lepen recueil 114 voix 355 votantscqfd,0,None
708, Info LEXPRESS  Chez EELV cest lheure des règlements de compteSamedi dernier dans une boucle interne le secrétaire national du parti JulienBayou a vivement critiqué Yannick Jadot lui reprochant davoir  singer Macron  durant sa campagne httpstcourilbYhwaS,info lexpress chez eelv cest lheur regl comptesamed derni boucl intern secrétair national part julienbayou a viv critiqu yannick jadot reproch davoir sing macron dur campagn httpstcourilbyhw,1,None
711,Récap des rumeurs premier ministre ce lundi 25 avril  Borne Montebourg Le Maire une femme Valls Castex Lagarde JadotEn gros rien nest prêt et cest la guerre des tranchées en macronie Ça commence bien ce quinquennat HungerGames ImprovisationTotale,récap rumeur premi ministr lund 25 avril born montebourg mair femm vall castex lagard jadoten gros rien nest prêt cest guerr tranch macron ça commenc bien quinquennat hungergam improvisationtotal,0,None
715,Nonlextrême droite na pas recueilli 415 des voix hier soirOn oublie un peu vite leffet du Tout sauf Macron qui a apporté à LePen 14M de voix de Mélenchon 370 000 de Pécresse et 130000 de JadotSans elles LePen recueillait 114 M de voix soit 355 des votantsCQFD,nonlextrêm droit na recueil 415 voix hi soiron oubl peu vit leffet tout sauf macron a apport lepen 14m voix mélenchon 370 000 pécress 130000 jadotsan elle lepen recueil 114 voix 355 votantscqfd,0,None
716, Info LEXPRESS  Chez EELV cest lheure des règlements de compteSamedi dernier dans une boucle interne le secrétaire national du parti JulienBayou a vivement critiqué Yannick Jadot lui reprochant davoir  singer Macron  durant sa campagne httpstcourilbYhwaS,info lexpress chez eelv cest lheur regl comptesamed derni boucl intern secrétair national part julienbayou a viv critiqu yannick jadot reproch davoir sing macron dur campagn httpstcourilbyhw,1,None
718,INFO LEXPRESS  Chez EELV cest lheure des règlements de compte Samedi dernier dans une boucle interne le secrétaire national du parti julienbayou a taillé un costard à Yannick Jadot lui reprochant davoir  singer Macron  15 httpstcorW46wbjWyb,info lexpress chez eelv cest lheur regl compt samed derni boucl intern secrétair national part julienbayou a taill costard yannick jadot reproch davoir sing macron 15 httpstcorw46wbjwyb,0,None
719,Ifop  95 des électeurs de Marine Le Pen 84 de ceux dEric Zemmour 77 des électeurs de JeanLuc Mélenchon 63 de ceux de Yannick Jadot et 55 de ceux de Valérie Pécresse préfèrent voir Macron échouer aux législatives de juin httpstcow5i3XnzIk4,ifop 95 électeur marin pen 84 ceux deric zemmour 77 électeur jeanluc mélenchon 63 ceux yannick jadot 55 ceux valer pécress pref voir macron échou législ juin httpstcow5i3xnzik4,1,None
721,alimentation20 Si elle couche Oui cela peut marcher  Au moins elle peut obtenir une petite boîte de caviar à  partager entre les  divers cons MACRONMELENCHONMARINEHIDALGOJADOTPECRASSE ETCZEMMOUR pas besoin Il aime que le chocolat il a dit ,alimentation20 si couch oui cel peut march moin peut obten petit boît caviar partag entre diver con macronmelenchonmarinehidalgojadotpecr etczemmour besoin aim chocolat a dit,0,None
699,INFO LEXPRESS  Chez EELV cest lheure des règlements de compte Samedi dernier dans une boucle interne le secrétaire national du parti julienbayou a taillé un costard à Yannick Jadot lui reprochant davoir  singer Macron  15 httpstcorW46wbjWyb,info lexpress chez eelv cest lheur regl compt samed derni boucl intern secrétair national part julienbayou a taill costard yannick jadot reproch davoir sing macron 15 httpstcorw46wbjwyb,0,None
722, Info LEXPRESS  Chez EELV cest lheure des règlements de compteSamedi dernier dans une boucle interne le secrétaire national du parti JulienBayou a vivement critiqué Yannick Jadot lui reprochant davoir  singer Macron  durant sa campagne httpstcourilbYhwaS,info lexpress chez eelv cest lheur regl comptesamed derni boucl intern secrétair national part julienbayou a viv critiqu yannick jadot reproch davoir sing macron dur campagn httpstcourilbyhw,1,None
724,INFO LEXPRESS  Chez EELV cest lheure des règlements de compte Samedi dernier dans une boucle interne le secrétaire national du parti julienbayou a taillé un costard à Yannick Jadot lui reprochant davoir  singer Macron  15 httpstcorW46wbjWyb,info lexpress chez eelv cest lheur regl compt samed derni boucl intern secrétair national part julienbayou a taill costard yannick jadot reproch davoir sing macron 15 httpstcorw46wbjwyb,0,None
