,review,clear_review,predicted,candidat
0,epenser cest marrant quand tu assemble les point on commence a voir un patern,epens cest marr quand assembl point commenc a voir patern,0,None
109,httpstcoMDJ82fxZXk,httpstcomdj82fxzxk,0,None
110,Ptin il fait tellement froid que jai du ressortir les fringues achetée pour le canada,ptin fait tel froid jai ressort fringu achet canad,0,None
111,bon jai installé Control pour les vacances jai lu beaucoup de gens en dire du bien,bon jai install control vacanc jai lu beaucoup gen dir bien,1,None
112,ClashNanar CultMovies86 Jaurai juste aimé quelle évite de nous chier à la gueule à nous au passage,clashnanar cultmovies86 jaur just aim quel évit chi gueul passag,0,None
113,CultMovies86 mais oui cest le même bullshit que jai déjà entendu  pour jurassic world mais oui mais en fait on fais des mauvais films pour critiquer les mauvais films dhollywood et mon cul oui,cultmovies86 oui cest bullsh jai déjà entendu jurassic world oui fait fais mauv film critiqu mauv film dhollywood cul oui,0,None
114,le tout en se payant un coté méta  à coup de hahaha cest nul les suites de films hein  hahaha personne na demandé ca hein  hahahaben oui putain bref grrrr,tout pai cot met coup hahah cest nul suit film hein hahah person na demand ca hein hahahaben oui putain bref grrrr,0,None
115,Matrix Quelle purge absolue Le film tassome de techno bullshit pour contorsionner le scénario des premier films afin de justifier un 4ème qui na aucun but dexister Le film ma énervé tellement il est mauvais,matrix quel purg absolu film tassom techno bullsh contorsion scénario premi film afin justifi 4em na aucun but dexist film énerv tel mauv,0,None
116,Allez pour noêl on vous racontera lhistoire dun grand nom du jeu vidéo célébrissime jeu pourri rdv le 2512 à 16h00la vidéo est en ligne déjà en 4k le son est ok la sponso est validée si ya encore un pb jme flingue httpstcomU9b8JDjDm,allez noêl racont lhistoir dun grand nom jeu vidéo célébrissim jeu pourr rdv 2512 16h00la vidéo lign déjà 4k ok sponso valid si ya encor pb jme flingu httpstcomu9b8jdjdm,0,None
117,Yo  Petit concours pour vous faire gagner une manette Nacon Revolution X avec NaconFR Pour participer  RT ce tweet Follow NaconFR et Frederic Molas TAS le 2712  et voila une photo de ma manette pas complètement propre pour vous énerverNacon Sponsorisé httpstcoXpY1FRWijm,yo pet concour fair gagn manet nacon revolu x naconfr particip rt tweet follow naconfr frederic mol tas 2712 voil photo manet complet propr énervernacon sponsoris httpstcoxpy1frwijm,0,None
118,Ptin dsl javais oublié quil fallait bloquer les comms sur tous les truc parlant du vaccin Mes excuses jai supprimé Love lt3,ptin dsl jav oubli quil fall bloqu comm tous truc parl vaccin excus jai supprim lov lt3,0,None
119,Twitch qui ban sa propre chaîne espagnole parcequune meuf a montrer un demi téton en live pour plaisanter  Il est loin le temps des pub de yahourt à poil httpstcoWUi2nlPqAi,twitch ban propr chaîn espagnol parcequun meuf a montr dem téton liv plaisant loin temp pub yahourt poil httpstcowui2nlpq,0,None
120,le jeu Gardien de la galaxie est vraiment tres cool malgré ce qui en avais été dis avant sa sortie je passe un excellent moment dessus,jeu gardien galax vrai tre cool malgr dis avant sort pass excellent moment dessus,1,None
121,Un jour au détour dune case du manga on va apprendre que trunks et goten sont morts renversés par une voiture je crois httpstcofAWYOXAinL,jour détour dun cas mang va apprendr trunk goten mort renvers voitur crois httpstcofawyoxainl,0,None
122,Ce soir sur httpstcoaqlneir0dt On va relancer The Long Dark le jeu du tout premier narratif de la chaine qui parait til a eu un milliard damélioration depuis lépoque XboxFR GamePassNight httpstco474qe9p96G,soir httpstcoaqlneir0dt va relanc the long dark jeu tout premi narrat chain par til a milliard damélior depuis lépoqu xboxfr gamepassnight httpstco474qe9p96g,0,None
123,hey  Pour info  Demain on retrouve Sebchan et benzaiekun sur la chaine httpstco08MFjrC4Tv pour faire du Naraka  Bladepoint   Le jeu est full gratuit ce weekend à télécharger ici  httpstcoUp7xn4algesponsored narakabladepoint narakathegame,hey info demain retrouv sebchan benzaiekun chain httpstco08mfjrc4tv fair narak bladepoint jeu full gratuit weekend télécharg ici httpstcoup7xn4algesponsored narakabladepoint narakathegam,0,None
124,Le monde a besoin de Willem Dafoe en Joker,mond a besoin willem dafo jok,1,None
125,UbisoftFR wtf ya un nouveau settlers  jetais pas au courant le dernier cetait ya une eternité,ubisoftfr wtf ya nouveau settler jet cour derni cet ya etern,0,None
